"dt","modelloop","model","n","av","sex","ind"
NA,NA,NA,NA,NA,NA,NA
"09292022 230438",1,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 230541",1,"ind",300,0,0,0.436666666666667
"09292022 230644",1,"sex",300,0,0,0.01
"09292022 230748",1,"upd",300,0,0,0.08
"09292022 230438",2,"av",300,0,0.00333333333333333,0.00666666666666667
"09292022 230543",2,"ind",300,0.01,0.01,0.416666666666667
"09292022 230647",2,"sex",300,0.00333333333333333,0.00333333333333333,0.00333333333333333
"09292022 230751",2,"upd",300,0,0,0.08
"09292022 230438",3,"av",300,0,0,0.00333333333333333
"09292022 230543",3,"ind",300,0,0,0.416666666666667
"09292022 230647",3,"sex",300,0.00666666666666667,0.00333333333333333,0
"09292022 230751",3,"upd",300,0,0.00333333333333333,0.0933333333333333
"09292022 230438",4,"av",300,0.00666666666666667,0.00333333333333333,0
"09292022 230542",4,"ind",300,0,0,0.46
"09292022 230645",4,"sex",300,0,0,0.01
"09292022 230749",4,"upd",300,0,0.00333333333333333,0.05
"09292022 230438",5,"av",300,0.00666666666666667,0,0
"09292022 230543",5,"ind",300,0,0.00333333333333333,0.41
"09292022 230647",5,"sex",300,0,0.00333333333333333,0.00333333333333333
"09292022 230751",5,"upd",300,0.00333333333333333,0.00666666666666667,0.0833333333333333
"09292022 230438",6,"av",300,0.00333333333333333,0.00333333333333333,0.00333333333333333
"09292022 230542",6,"ind",300,0.00666666666666667,0,0.466666666666667
"09292022 230646",6,"sex",300,0,0,0
"09292022 230750",6,"upd",300,0,0,0.0733333333333333
"09292022 230438",7,"av",300,0,0,0.01
"09292022 230542",7,"ind",300,0,0.00333333333333333,0.386666666666667
"09292022 230646",7,"sex",300,0.00666666666666667,0,0.00333333333333333
"09292022 230751",7,"upd",300,0.01,0,0.0733333333333333
"09292022 230438",8,"av",300,0,0,0
"09292022 230542",8,"ind",300,0,0,0.366666666666667
"09292022 230645",8,"sex",300,0,0.00666666666666667,0.00333333333333333
"09292022 230750",8,"upd",300,0.00333333333333333,0,0.0666666666666667
"09292022 230438",9,"av",300,0.00333333333333333,0.00333333333333333,0
"09292022 230542",9,"ind",300,0.00666666666666667,0.00333333333333333,0.403333333333333
"09292022 230645",9,"sex",300,0.00666666666666667,0,0.01
"09292022 230749",9,"upd",300,0.00333333333333333,0,0.0666666666666667
"09292022 230438",10,"av",300,0.00666666666666667,0,0.00333333333333333
"09292022 230543",10,"ind",300,0.00666666666666667,0,0.42
"09292022 230646",10,"sex",300,0.00333333333333333,0.00333333333333333,0
"09292022 230751",10,"upd",300,0.00333333333333333,0,0.0566666666666667
"09292022 230438",11,"av",300,0.01,0.00333333333333333,0
"09292022 230542",11,"ind",300,0.00333333333333333,0,0.506666666666667
"09292022 230646",11,"sex",300,0.00666666666666667,0,0
"09292022 230751",11,"upd",300,0.00666666666666667,0,0.0733333333333333
"09292022 230438",12,"av",300,0,0,0.00666666666666667
"09292022 230542",12,"ind",300,0.01,0.00333333333333333,0.353333333333333
"09292022 230645",12,"sex",300,0.00666666666666667,0,0
"09292022 230749",12,"upd",300,0.01,0.00333333333333333,0.0666666666666667
"09292022 230438",13,"av",300,0.00333333333333333,0.00333333333333333,0
"09292022 230543",13,"ind",300,0,0.00333333333333333,0.423333333333333
"09292022 230646",13,"sex",300,0.00666666666666667,0.00333333333333333,0
"09292022 230751",13,"upd",300,0.01,0,0.0733333333333333
"09292022 230438",14,"av",300,0.00333333333333333,0.00666666666666667,0
"09292022 230543",14,"ind",300,0,0,0.393333333333333
"09292022 230646",14,"sex",300,0.00666666666666667,0.00333333333333333,0
"09292022 230750",14,"upd",300,0,0.00666666666666667,0.0966666666666667
"09292022 230438",15,"av",300,0,0.00333333333333333,0.00333333333333333
"09292022 230543",15,"ind",300,0.00333333333333333,0.00333333333333333,0.386666666666667
"09292022 230646",15,"sex",300,0.00666666666666667,0.00333333333333333,0.00666666666666667
"09292022 230751",15,"upd",300,0.00333333333333333,0,0.0766666666666667
"09292022 230437",16,"av",300,0.00333333333333333,0,0.00333333333333333
"09292022 230541",16,"ind",300,0,0,0.376666666666667
"09292022 230644",16,"sex",300,0.00333333333333333,0,0
"09292022 230749",16,"upd",300,0.00333333333333333,0,0.06
